DATETIME,RTC_TEMP_C,TEMP_C,PHOTO,BATTERY_LEVEL
2014-08-08 18:28:12,26.00,23.03,459,706
2014-08-08 18:28:17,26.00,23.03,363,706
2014-08-08 18:28:23,25.75,23.03,279,706
2014-08-08 18:28:28,25.75,23.03,187,706
2014-08-08 18:28:33,25.75,23.03,106,706
2014-08-08 18:28:39,25.75,23.03,77,706
2014-08-08 18:28:44,25.75,23.03,80,706
2014-08-08 18:28:49,25.75,23.03,107,706
2014-08-08 18:28:55,25.75,23.03,132,706
2014-08-08 18:29:00,25.75,23.03,166,706
2014-08-08 18:29:05,25.75,22.96,204,706
2014-08-08 18:29:11,25.75,22.94,270,706
2014-08-08 18:29:16,25.75,22.94,343,706
2014-08-08 18:29:21,25.75,22.94,419,706
2014-08-08 18:29:26,25.00,22.94,497,706
2014-08-08 18:29:32,25.00,22.94,596,706
2014-08-08 18:29:37,25.00,22.94,682,706
2014-08-08 18:29:42,25.00,22.94,757,706
2014-08-08 18:29:48,25.00,22.94,825,706
2014-08-08 18:29:53,25.00,22.94,886,706
2014-08-08 18:29:58,25.00,22.94,948,706
2014-08-08 18:30:04,25.00,22.94,954,706
2014-08-08 18:30:09,25.00,22.94,960,706
2014-08-08 18:30:14,25.00,22.94,975,706
2014-08-08 18:30:20,25.00,22.94,971,706
2014-08-08 18:30:25,25.00,23.03,978,706
2014-08-08 18:30:30,25.00,23.20,894,706
2014-08-08 18:30:36,25.00,23.38,679,706
2014-08-08 18:30:41,25.00,23.20,718,706
2014-08-08 18:30:46,25.00,23.20,686,706
2014-08-08 18:30:52,25.00,23.11,745,706
2014-08-08 18:30:57,25.00,23.11,758,706
2014-08-08 18:31:02,25.00,23.11,747,706
2014-08-08 18:31:08,25.00,23.11,756,706
2014-08-08 18:31:13,25.00,23.11,714,706
2014-08-08 18:31:18,25.00,23.11,725,706
2014-08-08 18:31:24,25.00,23.11,756,706
2014-08-08 18:31:29,25.00,23.11,715,706
2014-08-08 18:31:34,25.00,23.11,534,706
2014-08-08 18:31:40,25.00,23.20,964,706
2014-08-08 18:31:45,25.00,23.64,964,706
2014-08-08 18:31:50,25.00,23.90,959,706
2014-08-08 18:31:56,25.00,23.99,966,706
2014-08-08 18:32:01,25.00,23.46,979,706
2014-08-08 18:32:06,25.00,23.03,950,706
2014-08-08 18:32:12,25.00,23.03,941,706
2014-08-08 18:32:17,25.00,23.03,875,706
2014-08-08 18:32:22,25.00,23.03,856,706
2014-08-08 18:32:28,25.00,23.03,826,706
2014-08-08 18:32:33,25.00,23.03,783,706
2014-08-08 18:32:38,25.50,23.03,738,706
2014-08-08 18:32:44,25.50,23.03,695,706
2014-08-08 18:32:49,25.50,23.03,647,706
2014-08-08 18:32:54,25.50,23.03,598,706
2014-08-08 18:33:00,25.50,23.03,560,706
2014-08-08 18:33:05,25.50,23.03,504,706
2014-08-08 18:33:10,25.50,23.03,423,706
2014-08-08 18:33:16,25.50,23.01,347,706
2014-08-08 18:33:21,25.50,23.03,288,706
2014-08-08 18:33:26,25.50,22.96,330,706
2014-08-08 18:33:32,25.50,22.96,281,706
2014-08-08 18:33:37,25.50,22.94,341,706
2014-08-08 18:33:42,25.25,22.94,255,706
2014-08-08 18:33:48,25.25,22.94,315,706
2014-08-08 18:33:53,25.25,22.94,287,706
2014-08-08 18:33:58,25.25,22.94,317,706
2014-08-08 18:34:04,25.25,22.94,412,706
2014-08-08 18:34:09,25.25,22.94,447,706
2014-08-08 18:34:14,25.25,22.94,484,706
2014-08-08 18:34:20,25.25,22.94,566,706
2014-08-08 18:34:25,25.25,22.94,586,706
2014-08-08 18:34:30,25.25,22.94,612,706
2014-08-08 18:34:36,25.25,22.94,565,706
2014-08-08 18:34:41,25.25,22.94,532,706
2014-08-08 18:34:46,24.75,22.94,527,706
2014-08-08 18:34:52,24.75,22.94,528,706
2014-08-08 18:34:57,24.75,22.94,539,706
2014-08-08 18:35:02,24.75,22.94,620,706
2014-08-08 18:35:08,24.75,22.94,632,706
2014-08-08 18:35:13,24.75,22.94,685,706
2014-08-08 18:35:18,24.75,22.94,788,706
2014-08-08 18:35:24,24.75,22.94,960,706
2014-08-08 18:35:29,24.75,22.85,1007,706
2014-08-08 18:35:34,24.75,22.85,987,706
